Z,Element_Name,Ionization_eV,Waveform
23,Vanadium,6.746187,"0.000000,0.004937,0.009874,0.014810,0.019746,0.024682,0.029617,0.034551,0.039485,0.044418,0.049349,0.054279,0.059208,0.064136,0.069062,0.073986,0.078908,0.083829,0.088747,0.093664,0.098578,0.103489,0.108398,0.113305,0.118209,0.123109,0.128007,0.132902,0.137793,0.142682,0.147566,0.152447,0.157325,0.162198,0.167068,0.171933,0.176794,0.181651,0.186504,0.191352,0.196195,0.201034,0.205867,0.210696,0.215519,0.220338,0.225151,0.229958,0.234760,0.239556"
24,Chromium,6.76651,"0.000000,0.004929,0.009859,0.014788,0.019717,0.024645,0.029573,0.034500,0.039426,0.044351,0.049275,0.054198,0.059119,0.064039,0.068958,0.073875,0.078790,0.083703,0.088614,0.093523,0.098430,0.103334,0.108236,0.113135,0.118032,0.122925,0.127816,0.132703,0.137588,0.142469,0.147346,0.152220,0.157090,0.161956,0.166819,0.171677,0.176531,0.181381,0.186227,0.191068,0.195904,0.200736,0.205562,0.210384,0.215201,0.220012,0.224818,0.229619,0.234413,0.239203"
25,Manganese,7.434038,"0.000000,0.004703,0.009406,0.014108,0.018811,0.023513,0.028214,0.032915,0.037615,0.042314,0.047012,0.051710,0.056406,0.061100,0.065794,0.070486,0.075176,0.079865,0.084552,0.089237,0.093921,0.098602,0.103281,0.107957,0.112632,0.117303,0.121973,0.126639,0.131303,0.135963,0.140621,0.145276,0.149927,0.154575,0.159220,0.163861,0.168499,0.173133,0.177763,0.182389,0.187011,0.191629,0.196242,0.200852,0.205457,0.210057,0.214653,0.219244,0.223830,0.228411"
26,Iron,7.9024681,"0.000000,0.004561,0.009123,0.013684,0.018245,0.022805,0.027365,0.031925,0.036483,0.041041,0.045599,0.050155,0.054710,0.059264,0.063817,0.068368,0.072918,0.077467,0.082014,0.086559,0.091102,0.095644,0.100183,0.104721,0.109256,0.113789,0.118320,0.122848,0.127373,0.131896,0.136417,0.140934,0.145448,0.149960,0.154468,0.158973,0.163475,0.167973,0.172468,0.176960,0.181447,0.185931,0.190411,0.194887,0.199359,0.203827,0.208290,0.212749,0.217204,0.221654"
27,Cobalt,7.88101,"0.000000,0.004568,0.009135,0.013703,0.018270,0.022836,0.027402,0.031968,0.036533,0.041097,0.045661,0.050223,0.054784,0.059345,0.063904,0.068461,0.073017,0.077572,0.082125,0.086676,0.091226,0.095774,0.100319,0.104863,0.109404,0.113943,0.118480,0.123014,0.127546,0.132075,0.136601,0.141124,0.145645,0.150162,0.154677,0.159188,0.163695,0.168200,0.172701,0.177198,0.181691,0.186181,0.190667,0.195149,0.199626,0.204100,0.208569,0.213034,0.217495,0.221951"
28,Nickel,7.639878,"0.000000,0.004639,0.009278,0.013917,0.018556,0.023194,0.027831,0.032469,0.037105,0.041740,0.046375,0.051009,0.055641,0.060273,0.064903,0.069531,0.074159,0.078784,0.083408,0.088030,0.092650,0.097269,0.101885,0.106499,0.111110,0.115719,0.120326,0.124930,0.129532,0.134131,0.138726,0.143319,0.147909,0.152495,0.157079,0.161659,0.166235,0.170808,0.175377,0.179942,0.184504,0.189061,0.193615,0.198164,0.202709,0.207250,0.211786,0.216318,0.220845,0.225367"
29,Copper,7.72638,"0.000000,0.004613,0.009226,0.013839,0.018451,0.023064,0.027675,0.032286,0.036897,0.041506,0.046115,0.050723,0.055329,0.059935,0.064539,0.069142,0.073743,0.078343,0.082941,0.087537,0.092132,0.096724,0.101315,0.105903,0.110489,0.115073,0.119654,0.124233,0.128809,0.133382,0.137953,0.142520,0.147085,0.151646,0.156204,0.160759,0.165310,0.169858,0.174403,0.178943,0.183480,0.188013,0.192542,0.197066,0.201587,0.206103,0.210615,0.215122,0.219625,0.224123"
30,Zinc,9.394197,"0.000000,0.004184,0.008367,0.012551,0.016734,0.020917,0.025099,0.029281,0.033463,0.037644,0.041824,0.046004,0.050183,0.054360,0.058537,0.062713,0.066888,0.071062,0.075234,0.079405,0.083575,0.087743,0.091910,0.096075,0.100239,0.104400,0.108560,0.112718,0.116874,0.121028,0.125180,0.129329,0.133477,0.137622,0.141764,0.145905,0.150042,0.154177,0.158309,0.162439,0.166565,0.170689,0.174810,0.178928,0.183042,0.187154,0.191262,0.195366,0.199468,0.203565"
31,Gallium,5.999302,"0.000000,0.005235,0.010470,0.015705,0.020939,0.026173,0.031406,0.036638,0.041869,0.047099,0.052328,0.057555,0.062781,0.068005,0.073227,0.078447,0.083665,0.088881,0.094094,0.099305,0.104513,0.109718,0.114920,0.120119,0.125315,0.130507,0.135695,0.140880,0.146061,0.151238,0.156411,0.161580,0.166744,0.171904,0.177058,0.182208,0.187354,0.192493,0.197628,0.202757,0.207881,0.212999,0.218111,0.223217,0.228317,0.233411,0.238498,0.243579,0.248653,0.253721"
32,Germanium,7.899435,"0.000000,0.004562,0.009125,0.013687,0.018248,0.022810,0.027371,0.031931,0.036490,0.041049,0.045607,0.050164,0.054720,0.059275,0.063829,0.068381,0.072932,0.077482,0.082029,0.086576,0.091120,0.095662,0.100203,0.104741,0.109277,0.113811,0.118342,0.122871,0.127398,0.131922,0.136443,0.140961,0.145476,0.149988,0.154498,0.159003,0.163506,0.168005,0.172501,0.176993,0.181482,0.185966,0.190447,0.194924,0.199397,0.203865,0.208330,0.212790,0.217245,0.221696"
