Reynolds_Number,Lambda_0,Lambda_1,L1_Norm_Laminar,L1_Norm_Sharded,Eigenvalue_Gap
2831009.789340391,0.003119337,0.035675518478733625,1.4972928530616436,1.4972928530616436,0.032556181478733626
2833468.330190882,0.003119337,0.03565630562283858,1.4979307758240776,1.4979307758240776,0.03253696862283858
2835926.871041373,0.003119337,0.035637081415179316,1.4985693812602763,1.4985693812602763,0.032517744415179316
2838385.411891864,0.003119337,0.035617845835610736,1.499208671031363,1.499208671031363,0.032498508835610736
2840843.952742355,0.003119337,0.03559859886392808,1.4998486468043213,1.4998486468043213,0.03247926186392808
2843302.493592846,0.003119337,0.035579340479866675,1.5004893102520245,1.5004893102520245,0.032460003479866675
2845761.034443337,0.003119337,0.035560070663101705,1.5011306630532624,1.5011306630532624,0.032440733663101705
2848219.575293828,0.003119337,0.035540789393247965,1.5017727068927709,1.5017727068927709,0.032421452393247965
2850678.116144319,0.003119337,0.03552149664985957,1.5024154434612593,1.5024154434612593,0.03240215964985957
2853136.65699481,0.003119337,0.03550219241242976,1.5030588744554394,1.5030588744554394,0.03238285541242976
2855595.197845301,0.003119337,0.03548287666039059,1.503703001578054,1.503703001578054,0.03236353966039059
2858053.738695792,0.003119337,0.03546354937311273,1.5043478265379058,1.5043478265379058,0.03234421237311273
2860512.279546283,0.003119337,0.035444210529905144,1.5049933510498859,1.5049933510498859,0.032324873529905145
2862970.820396774,0.003119337,0.03542486011001489,1.5056395768350042,1.5056395768350042,0.03230552311001489
2865429.361247265,0.003119337,0.03540549809262682,1.5062865056204182,1.5062865056204182,0.032286161092626824
2867887.902097756,0.003119337,0.03538612445686334,1.506934139139462,1.506934139139462,0.03226678745686334
2870346.442948247,0.003119337,0.035366739181784144,1.5075824791316768,1.5075824791316768,0.032247402181784145
2872804.983798738,0.003119337,0.03534734224638596,1.5082315273428408,1.5082315273428408,0.03222800524638596
2875263.524649229,0.003119337,0.03532793362960223,1.508881285524999,1.508881285524999,0.03220859662960223
2877722.06549972,0.003119337,0.035308513310302936,1.5095317554364938,1.5095317554364938,0.032189176310302936
2880180.606350211,0.003119337,0.03528908126729426,1.5101829388419943,1.5101829388419943,0.03216974426729426
2882639.1472007018,0.003119337,0.03526963747931832,1.5108348375125296,1.5108348375125296,0.03215030047931832
2885097.688051193,0.003119337,0.03525018192505292,1.5114874532255167,1.5114874532255167,0.03213084492505292
2887556.228901684,0.003119337,0.0352307145831113,1.5121407877647934,1.5121407877647934,0.0321113775831113
2890014.769752175,0.003119337,0.03521123543204179,1.5127948429206493,1.5127948429206493,0.03209189843204179
2892473.310602666,0.003119337,0.03519174445032761,1.5134496204898553,1.5134496204898553,0.03207240745032761
2894931.851453157,0.003119337,0.03517224161638654,1.5141051222756987,1.5141051222756987,0.03205290461638654
2897390.392303648,0.003119337,0.03515272690857067,1.5147613500880122,1.5147613500880122,0.03203338990857067
2899848.933154139,0.003119337,0.03513320030516611,1.5154183057432062,1.5154183057432062,0.03201386330516611
2902307.47400463,0.003119337,0.0351136617843927,1.5160759910643025,1.5160759910643025,0.0319943247843927
2904766.0148551213,0.003119337,0.03509411132440373,1.516734407880965,1.516734407880965,0.03197477432440373
2907224.555705612,0.003119337,0.0350745489032857,1.5173935580295337,1.5173935580295337,0.0319552119032857
2909683.096556103,0.003119337,0.03505497449905794,1.5180534433530557,1.5180534433530557,0.031935637499057944
2912141.637406594,0.003119337,0.03503538808967241,1.5187140657013203,1.5187140657013203,0.03191605108967241
2914600.178257085,0.003119337,0.035015789653013364,1.5193754269308901,1.5193754269308901,0.031896452653013364
2917058.719107576,0.003119337,0.03499617916689706,1.5200375289051369,1.5200375289051369,0.03187684216689706
