Re,eta_classical,eta_uft
48013.429236534554,0.10038247972076278,0.10038247972076278
48907.8709413959,0.0990024394068997,0.0990024394068997
49818.97519205165,0.09764137163957237,0.09764137163957237
50747.05239490466,0.09629901558761658,0.09629901558761658
51692.418738916036,0.09497511400572763,0.09497511400572763
52655.39630332756,0.09366941318516368,0.09366941318516368
53636.31316739246,0.09238166290512453,0.09238166290512453
54635.503522148756,0.09111161638480123,0.09111161638480123
55653.30778427652,0.08985903023608251,0.08985903023608251
56690.07271207434,0.08862366441691372,0.08862366441691372
57746.15152359826,0.08740528218529478,0.08740528218529478
58821.90401699956,0.08620365005391266,0.08620365005391266
59917.696693106125,0.08501853774539557,0.08501853774539557
61033.90288028621,0.08384971814818372,0.08384971814818372
62170.90286163834,0.08269696727300657,0.08269696727300657
63329.08400455114,0.08156006420995783,0.08156006420995783
64508.84089267686,0.0804387910861607,0.0804387910861607
65710.5754603627,0.0793329330240156,0.0793329330240156
66934.69712958668,0.07824227810002186,0.07824227810002186
68181.62294944479,0.07716661730416506,0.07716661730416506
69451.7777382369,0.0761057444998627,0.0761057444998627
70745.59422819878,0.07505945638446103,0.07505945638446103
72063.5132129306,0.0740275524502749,0.0740275524502749
73405.98369757211,0.07300983494616287,0.07300983494616287
74773.4630517758,0.07200610883963042,0.07200610883963042
76166.41716552892,0.0710161817794548,0.0710161817794548
77585.32060787828,0.07003986405882369,0.07003986405882369
79030.65678861347,0.06907696857897948,0.06907696857897948
80502.91812295973,0.06812731081336516,0.06812731081336516
82002.6061993413,0.0671907087722613,0.0671907087722613
83530.2319502677,0.06626698296791086,0.06626698296791086
85086.31582640581,0.06535595638012189,0.06535595638012189
86671.38797389224,0.0644574544223446,0.0644574544223446
88285.9884149515,0.06357130490821342,0.06357130490821342
89930.66723187614,0.0626973380185504,0.0626973380185504
91605.9847544371,0.06183538626882079,0.06183538626882079
93312.5117507824,0.06098528447703754,0.06098528447703754
95050.82962189511,0.06014686973210551,0.06014686973210551
96821.53059967076,0.05931998136260245,0.05931998136260245
98625.21794868784,0.05850446090598761,0.05850446090598761
100462.50617173403,0.05770015207823519,0.05770015207823519
102334.02121916423,0.05690690074388373,0.05690690074388373
104240.40070215557,0.056124554886498826,0.056124554886498826
106182.29410993846,0.05535296457954034,0.05535296457954034
108160.36303107094,0.05459198195763167,0.05459198195763167
110175.28137883874,0.05384146118822252,0.05384146118822252
112227.73562085071,0.05310125844364267,0.05310125844364267
114318.42501291503,0.05237123187353853,0.05237123187353853
116448.06183726854,0.051651241577690084,0.051651241577690084
118617.37164524791,0.05094114957920006,0.05094114957920006
120827.0935044776,0.050240819798053164,0.050240819798053164
123077.98025066659,0.04955011802503739,0.04955011802503739
125370.79874409197,0.04886891189602522,0.04886891189602522
127706.33013086447,0.048197070866607065,0.048197070866607065
130085.37010905705,0.04753446618707477,0.04753446618707477
132508.72919979537,0.04688097087774778,0.04688097087774778
134977.2330233942,0.04623645970463963,0.04623645970463963
137491.72258064203,0.045600809155458034,0.045600809155458034
140053.05453932198,0.0449738974159357,0.0449738974159357
142662.10152607353,0.04435560434648591,0.04435560434648591
145319.75242368953,0.043745811459179336,0.043745811459179336
148026.912673951,0.04314440189503764,0.04314440189503764
150784.50458610512,0.042551260401638695,0.042551260401638695
153593.46765108954,0.041966273311029895,0.041966273311029895
156454.7588616096,0.04138932851794521,0.04138932851794521
159369.35303817762,0.040820315458321835,0.040820315458321835
162338.24316122782,0.040259125088111844,0.040259125088111844
165362.4407094179,0.03970564986238519,0.03970564986238519
168442.97600423152,0.03915978371472023,0.03915978371472023
171580.89856100065,0.03862142203687755,0.03862142203687755
174777.27744646807,0.038090461658753065,0.038090461658753065
178033.2016430112,0.037566800828606604,0.037566800828606604
181349.78041964953,0.0370503391935627,0.0370503391935627
184728.1437099636,0.036540977780379284,0.036540977780379284
188169.44249705557,0.03603861897648069,0.03603861897648069
191674.8492056813,0.03554316651125127,0.03554316651125127
195245.5581016861,0.03505452543758656,0.03505452543758656
198882.78569888117,0.03457260211369793,0.03457260211369793
202587.7711735017,0.034097304185167265,0.034097304185167265
206361.77678638566,0.03362854056724829,0.03362854056724829
210206.08831301585,0.0331662214274115,0.0331662214274115
214122.01548157315,0.03271025816812897,0.03271025816812897
218110.892419152,0.03226056340989568,0.03226056340989568
222174.07810628825,0.03181705097448427,0.03181705097448427
226312.95683995297,0.031379635868430185,0.031379635868430185
230528.9387051706,0.030948234266743913,0.030948234266743913
234823.46005542763,0.030522763496846652,0.030522763496846652
239197.98400202373,0.030103142022727555,0.030103142022727555
243654.00091254662,0.02968928942931806,0.02968928942931806
248193.02891862526,0.029281126407081692,0.029281126407081692
252816.61443315004,0.028878574736815082,0.028878574736815082
257526.33267711988,0.028481557274658596,0.028481557274658596
262323.78821631236,0.02808999793731237,0.02808999793731237
267210.61550794326,0.027703821687456255,0.027703821687456255
272188.47945751797,0.027322954519369554,0.027322954519369554
277259.0759860481,0.026947323444749094,0.026947323444749094
282424.13260784355,0.026576856478721624,0.026576856478721624
287685.40901905915,0.026211482626049176,0.026211482626049176
293044.69769721443,0.025851131867523424,0.025851131867523424
298503.82451187295,0.025495735146547686,0.025495735146547686
304064.64934670686,0.025145224355902836,0.025145224355902836
309729.0667331407,0.024799532324695724,0.024799532324695724
315499.00649580883,0.024458592805486425,0.024458592805486425
321376.4344100276,0.024122340461593082,0.024122340461593082
327363.35287152475,0.02379071085457067,0.02379071085457067
333461.8015786363,0.02346364043186247,0.02346364043186247
339673.85822722095,0.02314106651462078,0.02314106651462078
346001.6392185109,0.022822927285695575,0.022822927285695575
352447.30038015876,0.022509161777787785,0.022509161777787785
359013.03770070686,0.022199709861765955,0.022199709861765955
365701.0880777486,0.021894512235143028,0.021894512235143028
372513.73008002096,0.021593510410711923,0.021593510410711923
379453.2847236942,0.021296646705337208,0.021296646705337208
386522.11626312614,0.021003864228900885,0.021003864228900885
393722.6329963475,0.020715106873399988,0.020715106873399988
401057.2880855496,0.020430319302194334,0.020430319302194334
408528.58039285656,0.02014944693940198,0.02014944693940198
416139.0553316707,0.019872435959440427,0.019872435959440427
423891.30573387747,0.019599233276711543,0.019599233276711543
431787.97273320216,0.019329786535428498,0.019329786535428498
439831.74666502286,0.019064044099582452,0.019064044099582452
448025.36798294896,0.01880195504304717,0.01880195504304717
456371.6281924754,0.018543469139819583,0.018543469139819583
464873.37080202566,0.018288536854394716,0.018288536854394716
473533.4922917121,0.01803710933227287,0.01803710933227287
482354.9431001467,0.01778913839059724,0.01778913839059724
491340.7286296357,0.01754457650892024,0.01754457650892024
500493.91027009534,0.017303376820096857,0.017303376820096857
509817.606442043,0.01706549310130324,0.01706549310130324
519314.9936590212,0.01683087976517862,0.01683087976517862
528989.3076098146,0.01659949185108902,0.01659949185108902
538843.8442608224,0.016371285016511205,0.016371285016511205
548881.9609789677,0.016146215528535037,0.016146215528535037
559107.0776755293,0.015924240255482572,0.015924240255482572
569522.6779712819,0.01570531665864238,0.01570531665864238
580132.3103833378,0.01548940278411761,0.01548940278411761
590939.5895340964,0.015276457254786125,0.015276457254786125
601948.1973827274,0.015066439262370935,0.015066439262370935
613161.8844795768,0.01485930855962002,0.01485930855962002
624584.4712439618,0.014655025452593257,0.014655025452593257
636219.8492657482,0.014453550793055783,0.014453550793055783
648071.9826311971,0.014254845970975552,0.014254845970975552
660144.9092734883,0.014058872907124393,0.014058872907124393
672442.742348425,0.013865594045780444,0.013865594045780444
684969.6716357439,0.013674972347531256,0.013674972347531256
697729.9649665538,0.013486971282175481,0.013486971282175481
