mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12
-0.02931153297182331,0.022008273146808373,-0.04160668222493268,-0.029673398272405387,0.03440583377338168,0.03466625528397336,0.007564003317904002,-0.04299593712455335,-0.0360612135961056,-0.03482670942440061,-0.03482670942440061,-0.032381094598768784
-0.02942879047366988,0.022140117304259476,-0.04177501126125879,-0.029865275904519636,0.03449774246935076,0.034751898897615464,0.007479133113999254,-0.0431809117185402,-0.03630777947595081,-0.03497414777779506,-0.03497414777779506,-0.03255790274728809
-0.029535805307100853,0.02226410930779992,-0.041928524485476126,-0.030045991272649314,0.034576757498790245,0.03482354296222617,0.007391249995863551,-0.0433470313611479,-0.03653849155860959,-0.03510529749475718,-0.03510529749475718,-0.03271915973651434
-0.02963226300964942,0.022379996217134716,-0.04206677392185661,-0.030215194829199234,0.03464252480031299,0.034880831771036375,0.007300319994057957,-0.04349381667129836,-0.03675290616203824,-0.035219768004493134,-0.035219768004493134,-0.03286448144841567
-0.029717944167196506,0.0224875961695201,-0.04218944670035433,-0.030372633170699236,0.034694802969746946,0.03492352401457125,0.007206335030775873,-0.043620930729911515,-0.03695069827249786,-0.03531728511112683,-0.03531728511112683,-0.03299359199743822
-0.02979299388856845,0.022587002705330903,-0.04229674763967129,-0.030518425145926655,0.03473377743973288,0.03495180897281693,0.007109377179516445,-0.04372857477941336,-0.03713199760254174,-0.03539801135472416,-0.03539801135472416,-0.033106623395018867
-0.0298573071433479,0.022678120333468093,-0.04238852665070763,-0.030652434765611847,0.034759342118317445,0.03496558325778,0.0070094677828997,-0.0438165860222951,-0.03729662578947109,-0.035461815465405604,-0.035461815465405604,-0.0332034336789549
-0.029910573089919117,0.022760697119799674,-0.04246434165347595,-0.030774314966280827,0.0347711522410726,0.03496450426924963,0.006906580785673437,-0.043884502786086355,-0.03744414957975287,-0.03550832527873371,-0.03550832527873371,-0.03328365551158876
-0.02995286754463873,0.02283477465544786,-0.04252429971289548,-0.030884115802404053,0.03476931418273718,0.0349486841311843,0.006800781951363886,-0.0439324340771321,-0.037574620903140975,-0.03553763151483664,-0.03553763151483664,-0.033347355111561054
-0.02998430674919735,0.02290042572341168,-0.0425685654940796,-0.030981930027618843,0.03475398160691826,0.034918283244554406,0.0066921458001668105,-0.04396055131558881,-0.03768814562363231,-0.035549876296805075,-0.035549876296805075,-0.033394647545231526
-0.03000463163711662,0.022957436938005563,-0.042596771042650874,-0.031067463765683083,0.03472487339400462,0.03487302586517853,0.006580662377961785,-0.04396847870288201,-0.03778436123338701,-0.035544760101401375,-0.035544760101401375,-0.033425233702116613
-0.030013766306632786,0.02300573447975859,-0.04260880865714803,-0.031140612323431023,0.03468192195842942,0.03481285178753344,0.006466364122438717,-0.04395611241254453,-0.037863137448626204,-0.03552220443561356,-0.03552220443561356,-0.03343902211891167
-0.03001194909865383,0.02304548531803396,-0.042605016963806135,-0.03120159736379992,0.034625423770590316,0.03473806715287203,0.006349352007612491,-0.04392381219938896,-0.037924742881052007,-0.035482506481746334,-0.035482506481746334,-0.03343627520290241
-0.029999107332177626,0.02307661836602672,-0.042585293251845374,-0.03125031881465358,0.034555316280030265,0.03464861845353262,0.0062296596253983505,-0.04387148536911762,-0.037969056911232174,-0.035425598684015396,-0.035425598684015396,-0.03341691259985527
-0.029975045140107796,0.023098967683397892,-0.04254936015693052,-0.0312865485759265,0.034471395993290355,0.03454431177609883,0.006107295848179782,-0.043798862439735346,-0.03799580546042345,-0.03535127177626,-0.03535127177626,-0.033380720494740126
-0.02993997293113919,0.02311267997022269,-0.04249751725477041,-0.03131048238659805,0.03437392807660789,0.0344254239599519,0.00598235418408657,-0.04370627130256521,-0.038005231456099804,-0.035259799838599004,-0.035259799838599004,-0.03332794140700586
-0.029894049491892415,0.02311786273269654,-0.04242999103035005,-0.03132226342361551,0.03426311834799305,0.03429217295060593,0.005854916524329294,-0.04359396716128089,-0.03799751580912997,-0.03515139906317705,-0.03515139906317705,-0.03325876397747756
-0.029837085968821182,0.023114355141328865,-0.04234651473131376,-0.03132167179877665,0.03413877428529349,0.034144378612595463,0.0057249957913810155,-0.04346170099514242,-0.03797240079696448,-0.03502587985728617,-0.03502587985728617,-0.033172993616081344
-0.02976915453433188,0.0231021981285053,-0.042247192311939435,-0.03130876142546679,0.03400100351356525,0.0339821621428731,0.0055926568963018935,-0.04330960785538398,-0.03792996299780138,-0.03488336337573529,-0.03488336337573529,-0.03307072996651527
-0.02969057378738596,0.023081624111746628,-0.04213247764365699,-0.031283846195033584,0.03385019558640047,0.03380592724231168,0.005458010900409471,-0.043138184309986165,-0.03787059589341175,-0.03472426285036737,-0.03472426285036737,-0.03295235006615389
-0.029601307371720377,0.023052590469976784,-0.04200232103940214,-0.03124686773443845,0.03368633483005848,0.03361567320932687,0.005321101497362796,-0.042947413204895805,-0.03779424375299503,-0.034548578523271284,-0.034548578523271284,-0.03281784005548076
-0.029501284954587297,0.02301502805171988,-0.04185662481895733,-0.031197732147139216,0.033509367830742265,0.03341136258636126,0.005181967044663815,-0.042737231446254104,-0.037700810002372395,-0.03435627471476955,-0.03435627471476955,-0.03266715218358255
-0.029390839501726718,0.022969182159094305,-0.041695863734022884,-0.031136772228498737,0.03331970036119939,0.03319341674241726,0.005040717824403518,-0.042508163730986065,-0.037590715933839905,-0.03414778936794849,-0.03414778936794849,-0.03250068918609703
-0.029270163001138737,0.022915188837539378,-0.04152031265421237,-0.03106417313667688,0.033117577722572025,0.0329620973790235,0.004897437715356514,-0.04226053252293934,-0.03746420584253582,-0.033923398402429986,-0.033923398402429986,-0.03231870060100271
-0.029139146393376492,0.02285294897065879,-0.04132981955744232,-0.03097980168332611,0.032902904545541546,0.032717327572084356,0.004752159168262897,-0.04199422785128199,-0.037321141618031316,-0.03368303125343537,-0.03368303125343537,-0.03212110656303903
-0.028998004910846014,0.022782617458365535,-0.0411246926274088,-0.030883869463646796,0.0326759529557934,0.03245939689705748,0.0046049690182177125,-0.04170961086953093,-0.03716180286358978,-0.03342699641594676,-0.03342699641594676,-0.0319081887210562
-0.028847118747089014,0.0227044793763439,-0.04090547413036641,-0.030776764964595728,0.03243718079817282,0.03218877978914965,0.004455979061769646,-0.04140728200555167,-0.036986683442247,-0.0331557947146155,-0.0331557947146155,-0.03168041303571667
-0.028686488533275982,0.022618522087918085,-0.04067216817771706,-0.030658473508217394,0.0321866181434736,0.03190552614220963,0.004305239795353665,-0.04108729776665568,-0.03679579351553714,-0.032869491649325,-0.032869491649325,-0.03143783057758421
-0.028516171732261373,0.02252477772284931,-0.04042485966161036,-0.03052904151702597,0.03192435966380604,0.03160975071920487,0.004152810876544091,-0.04074979917896922,-0.036589218586486276,-0.03256822129372306,-0.03256822129372306,-0.031180558236868532
-0.028336603956569766,0.022423577215787513,-0.04016416972627802,-0.030388920813986753,0.031650923948810625,0.03130198872129319,0.003998807191166874,-0.040395470418159586,-0.03636753185576644,-0.03225255266124968,-0.03225255266124968,-0.030909129657774953
-0.02814799811804009,0.02231507645143136,-0.03989040387668847,-0.030238326316923924,0.03136657947992657,0.03098252769607566,0.003843308963224145,-0.040024678300320395,-0.036131023372631375,-0.0319228013384995,-0.0319228013384995,-0.030623836769723366
-0.027950328841918365,0.02219924294627396,-0.039603530028444515,-0.03007721804648193,0.03107132894749673,0.030651392896830953,0.0036863626313439076,-0.039637452323384385,-0.03587967973847622,-0.031579014305941316,-0.031579014305941316,-0.030324714486589938
-0.027743940561692933,0.022076337774060113,-0.0393040403004927,-0.029905954171486695,0.030765587147914563,0.030309017010487167,0.003528064363401372,-0.03923434967258193,-0.03561396459605644,-0.031221659957531997,-0.031221659957531997,-0.03001220252707114
